Fecha_Nacimiento;Edad_Cliente;Nombre_Agente;POLIZA_AUTOS;POLIZA_SOAT;POLIZA_VIDAINDIVIDUAL;POLIZA_SALUD;POLIZA_HOGAR;POLIZA_VIDAGRUPO;POLIZA_MASVIDA;POLIZA_ACCIDENTESPERSONALES;POLIZA_CUMPLIMIENTO;POLIZA_INCENDIO;POLIZA_JUVENIL;POLIZA_EXEQUIAL
20/08/1981;37;CORP. DE SEG. COLECTIVOS, S.A.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
1/12/1994;24;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
22/02/1962;56;TOLEDO TOVAR  HECTOR HERNAN;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO
8/05/1993;25;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
13/11/1974;44;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
2/04/1987;31;ITAU CORREDOR DE SEGUROS COLOMBIA S.A;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
3/03/1992;26;ABRIL RIESGOS Y SEGUROS LIMIT;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
18/06/1997;21;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
5/03/1987;31;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
24/09/1961;57;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
30/11/1988;30;ABBA LTDA ASESORES DE SEGUROS;NO;SI;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO
16/02/1986;32;INSURANCE BROKER SEGUROS LTDA.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
3/10/1996;22;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
20/08/1984;34;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
10/03/1969;49;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
12/06/1976;42;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
5/04/1989;29;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
